,datetime,price
299,2022-01-19-10:05,133.08
300,2022-01-19-10:00,133.28
301,2022-01-19-09:55,133.11
302,2022-01-19-09:50,133.3533
303,2022-01-19-09:45,133.55
304,2022-01-19-09:40,133.515
305,2022-01-19-09:35,133.42
306,2022-01-19-09:30,132.7
307,2022-01-19-09:25,132.9
308,2022-01-19-08:50,133.05
309,2022-01-19-08:35,133.05
310,2022-01-19-08:25,133.1
311,2022-01-19-07:20,132.81
312,2022-01-19-07:10,132.81
313,2022-01-19-07:00,133.0
314,2022-01-19-05:10,132.63
315,2022-01-19-04:45,132.65
316,2022-01-18-19:25,132.71
317,2022-01-18-18:10,132.95
318,2022-01-18-17:45,132.95
319,2022-01-18-17:30,132.72
320,2022-01-18-17:15,132.7
321,2022-01-18-16:50,132.94
322,2022-01-18-16:25,133.25
323,2022-01-18-16:05,132.94
324,2022-01-18-16:00,132.97
325,2022-01-18-15:55,132.86
326,2022-01-18-15:50,132.955
327,2022-01-18-15:45,132.77
328,2022-01-18-15:40,133.0
329,2022-01-18-15:35,132.95
330,2022-01-18-15:30,133.01
331,2022-01-18-15:25,133.08
332,2022-01-18-15:20,132.9
333,2022-01-18-15:15,133.14
334,2022-01-18-15:10,133.26
335,2022-01-18-15:05,133.27
336,2022-01-18-15:00,133.37
337,2022-01-18-14:55,133.46
338,2022-01-18-14:50,133.345
339,2022-01-18-14:45,133.24
340,2022-01-18-14:40,133.27
341,2022-01-18-14:35,133.38
342,2022-01-18-14:30,133.355
343,2022-01-18-14:25,133.23
344,2022-01-18-14:20,133.24
345,2022-01-18-14:15,133.11
346,2022-01-18-14:10,133.35
347,2022-01-18-14:05,133.53
348,2022-01-18-14:00,133.62
349,2022-01-18-13:55,133.54
350,2022-01-18-13:50,133.58
351,2022-01-18-13:45,133.49
352,2022-01-18-13:40,133.3943
353,2022-01-18-13:35,133.35
354,2022-01-18-13:30,133.27
355,2022-01-18-13:25,133.31
356,2022-01-18-13:20,133.58
357,2022-01-18-13:15,133.38
358,2022-01-18-13:10,133.37
359,2022-01-18-13:05,133.21
360,2022-01-18-13:00,133.1
361,2022-01-18-12:55,133.08
362,2022-01-18-12:50,132.965
363,2022-01-18-12:45,133.09
364,2022-01-18-12:40,133.22
365,2022-01-18-12:35,133.1389
366,2022-01-18-12:30,133.07
367,2022-01-18-12:25,133.0686
368,2022-01-18-12:20,133.08
369,2022-01-18-12:15,133.3904
370,2022-01-18-12:10,133.305
371,2022-01-18-12:05,133.28
372,2022-01-18-12:00,133.44
373,2022-01-18-11:55,133.39
374,2022-01-18-11:50,133.25
375,2022-01-18-11:45,133.2378
376,2022-01-18-11:40,133.3
377,2022-01-18-11:35,133.11
378,2022-01-18-11:30,133.67
379,2022-01-18-11:25,133.47
380,2022-01-18-11:20,133.585
381,2022-01-18-11:15,133.44
382,2022-01-18-11:10,133.6
383,2022-01-18-11:05,133.33
384,2022-01-18-11:00,133.33
385,2022-01-18-10:55,132.76
386,2022-01-18-10:50,132.71
387,2022-01-18-10:45,132.85
388,2022-01-18-10:40,132.78
389,2022-01-18-10:35,132.88
390,2022-01-18-10:30,132.67
391,2022-01-18-10:25,132.19
392,2022-01-18-10:20,132.08
393,2022-01-18-10:15,132.12
394,2022-01-18-10:10,132.44
395,2022-01-18-10:05,132.58
396,2022-01-18-10:00,132.91
397,2022-01-18-09:55,132.98
398,2022-01-18-09:50,133.12
399,2022-01-18-09:45,132.95
400,2022-01-18-09:40,133.27
401,2022-01-18-09:35,133.7
402,2022-01-18-09:30,132.89
403,2022-01-18-09:25,132.82
404,2022-01-18-09:10,132.99
405,2022-01-18-09:05,132.62
406,2022-01-18-08:55,132.8
407,2022-01-18-08:45,132.87
408,2022-01-18-08:40,133.59
409,2022-01-18-08:20,133.57
410,2022-01-18-08:05,133.34
411,2022-01-18-07:45,133.52
412,2022-01-18-07:40,133.53
413,2022-01-18-07:15,133.5
414,2022-01-18-07:10,133.41
415,2022-01-18-07:05,133.68
416,2022-01-18-05:40,133.27
417,2022-01-18-04:25,133.01
418,2022-01-18-04:05,133.37
419,2022-01-14-19:55,134.22
420,2022-01-14-19:30,134.2201
421,2022-01-14-18:50,134.2201
422,2022-01-14-16:55,133.94
423,2022-01-14-16:20,134.21
424,2022-01-14-16:15,134.21
425,2022-01-14-16:05,134.21
426,2022-01-14-16:00,134.21
427,2022-01-14-15:55,134.285
428,2022-01-14-15:50,134.21
429,2022-01-14-15:45,134.22
430,2022-01-14-15:40,134.1
431,2022-01-14-15:35,133.95
432,2022-01-14-15:30,133.93
433,2022-01-14-15:25,134.285
434,2022-01-14-15:20,134.22
435,2022-01-14-15:15,134.104
436,2022-01-14-15:10,133.98
437,2022-01-14-15:05,134.1
438,2022-01-14-15:00,133.98
439,2022-01-14-14:55,133.9338
440,2022-01-14-14:50,133.79
441,2022-01-14-14:45,133.68
442,2022-01-14-14:40,133.84
443,2022-01-14-14:35,133.8
444,2022-01-14-14:30,133.68
445,2022-01-14-14:25,133.94
446,2022-01-14-14:20,134.04
447,2022-01-14-14:15,134.0
448,2022-01-14-14:10,134.1
449,2022-01-14-14:05,134.04
450,2022-01-14-14:00,133.8
451,2022-01-14-13:55,133.75
452,2022-01-14-13:50,133.864
453,2022-01-14-13:45,134.0
454,2022-01-14-13:40,133.88
455,2022-01-14-13:35,133.95
456,2022-01-14-13:30,134.0
457,2022-01-14-13:25,133.78
458,2022-01-14-13:20,133.705
459,2022-01-14-13:15,133.7
460,2022-01-14-13:10,133.52
461,2022-01-14-13:05,133.78
462,2022-01-14-13:00,133.955
463,2022-01-14-12:55,133.71
464,2022-01-14-12:50,133.61
465,2022-01-14-12:45,133.75
466,2022-01-14-12:40,133.96
467,2022-01-14-12:35,133.99
468,2022-01-14-12:30,133.96
469,2022-01-14-12:25,133.93
470,2022-01-14-12:20,134.43
471,2022-01-14-12:15,134.67
472,2022-01-14-12:10,134.71
473,2022-01-14-12:05,134.72
474,2022-01-14-12:00,134.89
475,2022-01-14-11:55,135.015
476,2022-01-14-11:50,135.03
477,2022-01-14-11:45,134.91
478,2022-01-14-11:40,134.625
479,2022-01-14-11:35,134.53
480,2022-01-14-11:30,134.61
481,2022-01-14-11:25,134.8204
482,2022-01-14-11:20,134.66
483,2022-01-14-11:15,134.68
484,2022-01-14-11:10,135.0109
485,2022-01-14-11:05,134.675
486,2022-01-14-11:00,134.8511
487,2022-01-14-10:55,134.475
488,2022-01-14-10:50,134.36
489,2022-01-14-10:45,134.25
490,2022-01-14-10:40,134.2004
491,2022-01-14-10:35,134.21
492,2022-01-14-10:30,134.2262
493,2022-01-14-10:25,133.685
