datetime,price,S_avg,S_std,signal,pnl
2022-01-18 13:15:00,170.07,170.5299201834862,0.5931764673692786,-1.0,-0.25499999999999545
2022-01-18 13:20:00,170.08,170.52583,0.5920055063514604,-1.0,-0.010000000000019327
2022-01-18 13:25:00,169.79,170.5192009009009,0.5934326532204502,-1.0,0.29000000000002046
2022-01-18 13:30:00,169.755,170.51237767857143,0.5951503953631055,-1.0,0.03499999999999659
2022-01-18 13:35:00,169.91,170.50704690265485,0.5951912279845679,-1.0,-0.15500000000000114
2022-01-18 13:40:00,170.1799,170.50417719298247,0.5933434382871491,-1.0,-0.2699000000000069
2022-01-18 13:45:00,170.21,170.5016191304348,0.5913719177213324,-1.0,-0.030100000000004457
2022-01-18 13:50:00,170.08,170.4979844827586,0.5900950195561233,-1.0,0.12999999999999545
2022-01-18 13:55:00,170.09,170.49449743589742,0.5887554368240814,-1.0,-0.009999999999990905
2022-01-18 14:00:00,170.345,170.49323050847457,0.5863955080675374,-1.0,-0.25499999999999545
2022-01-18 14:05:00,170.35,170.4920268907563,0.5840530981632954,-1.0,-0.0049999999999954525
2022-01-18 14:10:00,170.24,170.48992666666666,0.5820487921349597,-1.0,0.10999999999998522
2022-01-18 14:15:00,170.14,170.48703471074379,0.5804908230269047,-1.0,0.10000000000002274
2022-01-18 14:20:00,170.52,170.48730491803278,0.5780948281976168,-1.0,-0.3800000000000239
2022-01-18 14:25:00,170.16,170.48464390243902,0.5764766273035408,-1.0,0.36000000000001364
2022-01-18 14:30:00,170.16,170.48202580645162,0.5748681753266625,-1.0,-0.0
2022-01-18 14:35:00,170.32,170.4807296,0.5727288448133964,-1.0,-0.1599999999999966
2022-01-18 14:40:00,170.395,170.4800492063492,0.5704844545816848,-1.0,-0.07500000000001705
2022-01-18 14:45:00,170.27,170.47839527559054,0.5685217351261372,-1.0,0.125
2022-01-18 14:50:00,170.52,170.4787203125,0.5662909772570404,-1.0,-0.25
2022-01-18 14:55:00,170.66,170.48012558139536,0.5643003299550267,-1.0,-0.13999999999998636
2022-01-18 15:00:00,170.57,170.48081692307693,0.5621641299600253,-1.0,0.09000000000000341
2022-01-18 15:05:00,170.5666,170.4814717557252,0.5600479390572519,-1.0,0.0033999999999991815
2022-01-18 15:10:00,170.55,170.4819909090909,0.557938139674087,-1.0,0.01659999999998263
2022-01-18 15:15:00,170.4599,170.48182481203006,0.5558240204670729,-1.0,0.09010000000000673
2022-01-18 15:20:00,170.03,170.47845298507463,0.5551044560227232,-1.0,0.4299000000000035
2022-01-18 15:25:00,170.2213,170.47654814814814,0.5534719796129633,-1.0,-0.19130000000001246
2022-01-18 15:30:00,170.34,170.47554411764705,0.5515425735912493,-1.0,-0.11869999999998981
2022-01-18 15:35:00,170.24,170.47382481751825,0.5498794618958367,-1.0,0.09999999999999432
2022-01-18 15:40:00,170.175,170.47165942028985,0.5484591466714216,-1.0,0.06499999999999773
2022-01-18 15:45:00,169.85,170.4671870503597,0.5490063409832237,-1.0,0.32500000000001705
2022-01-18 15:50:00,170.2483,170.46562357142858,0.547340648156013,-1.0,-0.3983000000000061
2022-01-18 15:55:00,169.49,170.45870425531913,0.5515365474060829,-1.0,0.7582999999999913
2022-01-18 16:00:00,169.83,170.45427676056337,0.5521039339230113,-1.0,-0.3400000000000034
2022-01-18 16:05:00,169.8,170.4497013986014,0.5528704151187036,-1.0,0.030000000000001137
2022-01-18 16:10:00,169.76,170.44491180555553,0.5539237877063351,-1.0,0.040000000000020464
2022-01-18 16:15:00,169.95,170.44149862068966,0.5535250792253452,-1.0,-0.18999999999999773
2022-01-18 16:20:00,170.05,170.43881712328766,0.5525638255360058,-1.0,-0.10000000000002274
2022-01-18 16:25:00,170.15,170.4368523809524,0.5511832301479747,-1.0,-0.09999999999999432
2022-01-18 16:30:00,170.2,170.43525202702705,0.5496501742722405,-1.0,-0.04999999999998295
2022-01-18 16:35:00,170.2,170.43367315436242,0.54812902439349,-1.0,-0.0
2022-01-18 16:40:00,170.12,170.431582,0.5468866007714623,-1.0,0.07999999999998408
2022-01-18 16:45:00,170.19,170.4299821192053,0.5454150317065789,-1.0,-0.06999999999999318
2022-01-18 16:50:00,170.2,170.42846907894736,0.5439259866666982,-1.0,-0.009999999999990905
2022-01-18 16:55:00,170.2,170.42697581699346,0.542448362085983,-1.0,-0.0
2022-01-18 17:00:00,170.21,170.4255668831169,0.540955382652116,-1.0,-0.010000000000019327
2022-01-18 17:05:00,170.18,170.42398258064517,0.539556823451958,-1.0,0.030000000000001137
2022-01-18 17:10:00,170.06,170.42164935897438,0.5386024639087996,-1.0,0.12000000000000455
2022-01-18 17:15:00,170.01,170.41902738853503,0.5378776613133727,-1.0,0.05000000000001137
2022-01-18 17:20:00,170.0,170.41637531645569,0.5371972778915726,-1.0,0.009999999999990905
2022-01-18 17:25:00,169.9501,170.41344276729558,0.5367698102278607,-1.0,0.04990000000000805
2022-01-18 17:30:00,169.99,170.41079625,0.536125349898205,-1.0,-0.039900000000017144
2022-01-18 17:35:00,169.95,170.4079341614907,0.535679746222697,-1.0,0.040000000000020464
2022-01-18 17:40:00,170.0,170.40541604938272,0.5349744844340621,-1.0,-0.05000000000001137
2022-01-18 17:45:00,169.97,170.40274478527607,0.5344101026334815,-1.0,0.030000000000001137
2022-01-18 17:50:00,169.85,170.3993743902439,0.5345138114937313,-1.0,0.12000000000000455
2022-01-18 17:55:00,169.9,170.39634787878788,0.5342979255457023,-1.0,-0.05000000000001137
2022-01-18 18:00:00,169.92,170.393478313253,0.5339578987031262,-1.0,-0.01999999999998181
2022-01-18 18:05:00,170.08,170.3916011976048,0.532899555510825,-1.0,-0.160000000000025
2022-01-18 18:10:00,170.0,170.38927023809524,0.5321599873748826,-1.0,0.0800000000000125
2022-01-18 18:15:00,170.14,170.3877952662722,0.5309201810705191,-1.0,-0.13999999999998636
2022-01-18 18:20:00,169.95,170.38521999999998,0.5304109456955316,-1.0,0.18999999999999773
2022-01-18 18:25:00,169.82,170.38191461988305,0.5306120258357244,-1.0,0.12999999999999545
2022-01-18 18:30:00,169.89,170.3790546511628,0.530386176567649,-1.0,-0.06999999999999318
2022-01-18 18:35:00,169.69,170.37507167630056,0.5314305818458617,-1.0,0.19999999999998863
2022-01-18 18:40:00,169.6,170.3706172413793,0.5331402188878973,-1.0,0.09000000000000341
2022-01-18 18:45:00,169.66,170.3665565714286,0.5343131296505209,-1.0,-0.060000000000002274
2022-01-18 18:50:00,169.67,170.36259886363635,0.5353652150489772,-1.0,-0.009999999999990905
2022-01-18 18:55:00,169.56,170.35806440677968,0.5372399500189851,-1.0,0.10999999999998522
2022-01-18 19:00:00,169.5,170.35324382022472,0.5395669355658924,-1.0,0.060000000000002274
2022-01-18 19:05:00,169.54,170.3487005586592,0.5414717736216017,-1.0,-0.03999999999999204
2022-01-18 19:10:00,169.6,170.3445411111111,0.5428332340382598,-1.0,-0.060000000000002274
