,datetime,price
312,2022-01-20-10:00,168.88
313,2022-01-20-09:55,168.39
314,2022-01-20-09:50,168.42
315,2022-01-20-09:45,168.5
316,2022-01-20-09:40,167.345
317,2022-01-20-09:35,167.5017
318,2022-01-20-09:30,166.98
319,2022-01-20-09:25,167.25
320,2022-01-20-09:20,167.19
321,2022-01-20-09:15,167.2
322,2022-01-20-09:10,167.1
323,2022-01-20-09:05,167.17
324,2022-01-20-09:00,167.14
325,2022-01-20-08:55,167.32
326,2022-01-20-08:50,167.15
327,2022-01-20-08:45,167.11
328,2022-01-20-08:40,167.09
329,2022-01-20-08:35,167.18
330,2022-01-20-08:30,166.9
331,2022-01-20-08:25,166.9
332,2022-01-20-08:20,166.92
333,2022-01-20-08:15,167.1
334,2022-01-20-08:10,166.88
335,2022-01-20-08:05,166.9399
336,2022-01-20-08:00,166.88
337,2022-01-20-07:55,166.76
338,2022-01-20-07:50,166.63
339,2022-01-20-07:45,166.45
340,2022-01-20-07:40,166.65
341,2022-01-20-07:35,166.55
342,2022-01-20-07:30,166.81
343,2022-01-20-07:25,166.88
344,2022-01-20-07:20,167.05
345,2022-01-20-07:15,167.12
346,2022-01-20-07:10,167.1
347,2022-01-20-07:05,167.2
348,2022-01-20-07:00,167.22
349,2022-01-20-06:55,167.3
350,2022-01-20-06:50,167.33
351,2022-01-20-06:45,167.4
352,2022-01-20-06:40,167.46
353,2022-01-20-06:35,167.44
354,2022-01-20-06:30,167.47
355,2022-01-20-06:25,167.34
356,2022-01-20-06:20,167.39
357,2022-01-20-06:15,167.26
358,2022-01-20-06:10,167.24
359,2022-01-20-06:05,167.23
360,2022-01-20-06:00,166.88
361,2022-01-20-05:55,166.81
362,2022-01-20-05:50,166.88
363,2022-01-20-05:45,166.93
364,2022-01-20-05:40,166.9
365,2022-01-20-05:30,167.12
366,2022-01-20-05:25,166.91
367,2022-01-20-05:15,166.89
368,2022-01-20-05:10,166.81
369,2022-01-20-05:05,167.0
370,2022-01-20-05:00,167.05
371,2022-01-20-04:55,167.05
372,2022-01-20-04:50,166.99
373,2022-01-20-04:45,167.15
374,2022-01-20-04:40,167.11
375,2022-01-20-04:35,167.1
376,2022-01-20-04:30,166.87
